sample_id	tool	threads	group_set_baseline	group_set_compare	elapsed_sec_full_groups	elapsed_sec_groups10	elapsed_ratio_groups10_over_full	max_rss_kb_full_groups	max_rss_kb_groups10	max_rss_ratio_groups10_over_full
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep69	piawka	1	syn_groups.tsv	syn_groups_10.tsv	40.013	8.387	0.20960687776472647	23936.0	23776.0	0.9933155080213903
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep69	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.176	8.408	0.9163034001743678	500944.0	506912.0	1.011913507298221
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep70	piawka	1	syn_groups.tsv	syn_groups_10.tsv	40.274	8.371	0.2078512191488305	23744.0	23808.0	1.0026954177897573
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep70	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.176	8.18	0.8914559721011334	505920.0	504240.0	0.9966793168880456
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep71	piawka	1	syn_groups.tsv	syn_groups_10.tsv	39.245	8.125	0.20703274302458913	23840.0	23680.0	0.9932885906040269
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep71	pixy	1	syn_groups.tsv	syn_groups_10.tsv	8.939	7.925	0.8865644926725584	480608.0	478880.0	0.996404554231307
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep72	piawka	1	syn_groups.tsv	syn_groups_10.tsv	40.503	8.34	0.2059106732834605	24064.0	23792.0	0.9886968085106383
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep72	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.435	8.421	0.8925278219395866	516720.0	508608.0	0.9843009753831863
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep82	piawka	1	syn_groups.tsv	syn_groups_10.tsv	40.033	8.331	0.2081033147653186	24512.0	24080.0	0.9823759791122716
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep82	pixy	1	syn_groups.tsv	syn_groups_10.tsv	9.218	8.408	0.9121284443480147	515984.0	513904.0	0.9959688672516978
