group	tool	fold_id	fold_mean_pi
MIX Sibiryakov Island	piawka	40	0.00656557595959596
MIX Sibiryakov Island	pixy	40	0.0032625246038758718
MIX Sibiryakov Island	piawka	41	0.00657781696969697
MIX Sibiryakov Island	pixy	41	0.0032763175015490726
MIX Sibiryakov Island	piawka	42	0.0065366688888888885
MIX Sibiryakov Island	pixy	42	0.00327575142551073
MIX Sibiryakov Island	piawka	43	0.006568591616161616
MIX Sibiryakov Island	pixy	43	0.0032752528650155967
MIX Sibiryakov Island	piawka	44	0.006544839797979798
MIX Sibiryakov Island	pixy	44	0.003279873605667982
MIX Sibiryakov Island	piawka	45	0.006571205050505051
MIX Sibiryakov Island	pixy	45	0.00327926792513291
MIX Sibiryakov Island	piawka	46	0.0065502150505050505
MIX Sibiryakov Island	pixy	46	0.003271891111093192
MIX Sibiryakov Island	piawka	47	0.0065642390909090905
MIX Sibiryakov Island	pixy	47	0.0032638597286584687
MIX Sibiryakov Island	piawka	48	0.006519635656565656
MIX Sibiryakov Island	pixy	48	0.0032494970008522897
MIX Sibiryakov Island	piawka	49	0.006545007777777778
MIX Sibiryakov Island	pixy	49	0.003264576550826384
MIX Sibiryakov Island	piawka	50	0.006582951616161617
MIX Sibiryakov Island	pixy	50	0.003277650063038685
MIX Sibiryakov Island	piawka	51	0.00657726909090909
MIX Sibiryakov Island	pixy	51	0.0032892640242712995
MIX Sibiryakov Island	piawka	52	0.006586158787878788
MIX Sibiryakov Island	pixy	52	0.003286032928158854
MIX Sibiryakov Island	piawka	53	0.006567831414141414
MIX Sibiryakov Island	pixy	53	0.0032775014499796602
MIX Sibiryakov Island	piawka	54	0.006577144545454545
MIX Sibiryakov Island	pixy	54	0.0032744853750334597
MIX Sibiryakov Island	piawka	55	0.006587874343434344
MIX Sibiryakov Island	pixy	55	0.0032843523923824108
MIX Sibiryakov Island	piawka	56	0.006530202727272728
MIX Sibiryakov Island	pixy	56	0.003243185562020285
MIX Sibiryakov Island	piawka	57	0.00635119494949495
MIX Sibiryakov Island	pixy	57	0.0031625192109331454
MIX Sibiryakov Island	piawka	58	0.0065034898989898985
MIX Sibiryakov Island	pixy	58	0.003242688448459056
MIX Sibiryakov Island	piawka	59	0.00649560909090909
MIX Sibiryakov Island	pixy	59	0.0032319724840853587
MIX Sibiryakov Island	piawka	60	0.006567158383838384
MIX Sibiryakov Island	pixy	60	0.00326168501555398
MIX Sibiryakov Island	piawka	61	0.006561612727272728
MIX Sibiryakov Island	pixy	61	0.0032775584405477886
MIX Sibiryakov Island	piawka	62	0.0065738368686868685
MIX Sibiryakov Island	pixy	62	0.003275633518545101
MIX Sibiryakov Island	piawka	63	0.006563895959595959
MIX Sibiryakov Island	pixy	63	0.0032591285995125577
MIX Sibiryakov Island	piawka	64	0.006535580606060605
