sample_id	n_overlap	mean_abs_diff	max_abs_diff	mean_rel_diff	max_rel_diff
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep67	1	0.0003325999999999954	0.0003325999999999954	0.0068133538457755645	0.0068133538457755645
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep68	1	0.00035419999999999896	0.00035419999999999896	0.007230356884046855	0.007230356884046855
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep69	1	0.0003231999999999957	0.0003231999999999957	0.006781737988224194	0.006781737988224194
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep70	1	0.00033939999999999665	0.00033939999999999665	0.0067795255930086715	0.0067795255930086715
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep71	1	0.0003347000000000003	0.0003347000000000003	0.007176289727421066	0.007176289727421066
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep72	1	0.0003281000000000048	0.0003281000000000048	0.0066909615937581915	0.0066909615937581915
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep73	1	0.0003231999999999957	0.0003231999999999957	0.006974009300117507	0.006974009300117507
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep74	1	0.0003186000000000022	0.0003186000000000022	0.006727480045610082	0.006727480045610082
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep75	1	0.0	0.0	0.0	0.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep76	1	0.00032089999999999896	0.00032089999999999896	0.006683717888370018	0.006683717888370018
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep77	1	0.0003510000000000041	0.0003510000000000041	0.007408423652078561	0.007408423652078561
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep78	1	0.00031180000000000097	0.00031180000000000097	0.006684603758213744	0.006684603758213744
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep79	1	0.0003377999999999992	0.0003377999999999992	0.007121083720165425	0.007121083720165425
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep80	1	0.0003377999999999992	0.0003377999999999992	0.006936900491004397	0.006936900491004397
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep81	1	0.00034069999999999934	0.00034069999999999934	0.007194624409774707	0.007194624409774707
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep82	1	0.00031130000000000047	0.00031130000000000047	0.006382629733664128	0.006382629733664128
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep83	1	0.0003449999999999981	0.0003449999999999981	0.007218418894263723	0.007218418894263723
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep84	1	0.00032350000000000434	0.00032350000000000434	0.006858128949784172	0.006858128949784172
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep85	1	0.0003195999999999963	0.0003195999999999963	0.006682920913193045	0.006682920913193045
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep86	1	0.0003220999999999988	0.0003220999999999988	0.006531136957191728	0.006531136957191728
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep88	1	0.0002944000000000002	0.0002944000000000002	0.006252004187823462	0.006252004187823462
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep89	1	0.00034710000000000296	0.00034710000000000296	0.0074075812998587835	0.0074075812998587835
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep9	1	0.00034540000000000265	0.00034540000000000265	0.007397602953901039	0.007397602953901039
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep92	1	0.0003419999999999951	0.0003419999999999951	0.007220536726563237	0.007220536726563237
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep93	1	0.0003422999999999968	0.0003422999999999968	0.007107690965985593	0.007107690965985593
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep94	1	0.0003312000000000037	0.0003312000000000037	0.006915805497146682	0.006915805497146682
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep95	1	0.0003562999999999969	0.0003562999999999969	0.00759672336669375	0.00759672336669375
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep96	1	0.0003222999999999976	0.0003222999999999976	0.006733549497751951	0.006733549497751951
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1	1	0.00201599999999999	0.00201599999999999	0.012104037080621473	0.012104037080621473
