sample_id	tool	threads	window_set_baseline	window_set_compare	elapsed_sec_syn_win	elapsed_sec_syn_win_threads8	elapsed_ratio_threads8_over_syn_win	max_rss_kb_syn_win	max_rss_kb_syn_win_threads8	max_rss_ratio_threads8_over_syn_win
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep18	pixy	1	syn_win.bed	syn_win_threads8.bed	9.148	12.88	1.4079580236117186	501056.0	184128.0	0.367479882488185
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep19	piawka	1	syn_win.bed	syn_win_threads8.bed	39.522	39.178	0.99129598704519	23968.0	24096.0	1.0053404539385848
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep19	pixy	1	syn_win.bed	syn_win_threads8.bed	9.287	12.805	1.3788090879724344	509504.0	185280.0	0.36364778294184147
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep20	piawka	1	syn_win.bed	syn_win_threads8.bed	39.506	39.187	0.9919252771730875	24208.0	23856.0	0.985459352280238
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep20	pixy	1	syn_win.bed	syn_win_threads8.bed	8.957	12.755	1.42402590152953	502592.0	181232.0	0.36059467719342925
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep21	piawka	1	syn_win.bed	syn_win_threads8.bed	39.258	39.29	1.0008151204849967	24512.0	23808.0	0.9712793733681462
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep21	pixy	1	syn_win.bed	syn_win_threads8.bed	8.95	12.801	1.4302793296089387	496880.0	160912.0	0.32384479149895345
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep22	piawka	1	syn_win.bed	syn_win_threads8.bed	39.934	39.93	0.9998998347273002	23792.0	24144.0	1.0147948890383323
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep22	pixy	1	syn_win.bed	syn_win_threads8.bed	9.193	12.769	1.3889916240617861	511952.0	172976.0	0.33787542582117075
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep23	piawka	1	syn_win.bed	syn_win_threads8.bed	39.338	39.316	0.9994407443184707	23648.0	24016.0	1.0155615696887685
