sample_id	source_class	missing_rate	piawka_pi	pixy_pi	piawka_theta_w	pixy_theta_w	piawka_theta_low	piawka_pi_minus_theta_w	pixy_pi_minus_theta_w	piawka_pi_minus_theta_low	piawka_theta_w_rel_to_nomiss	pixy_theta_w_rel_to_nomiss	piawka_pi_minus_theta_w_rel_to_nomiss	pixy_pi_minus_theta_w_rel_to_nomiss	piawka_pi_minus_theta_low_rel_to_nomiss
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep83	bneck	0.0	0.0477944	0.0477944254230659	0.170269	0.1702698332144599	0.0741554	-0.1224746	-0.122475407791394	-0.026360999999999996	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep84	bneck	0.0	0.0471703	0.0471703603546204	0.170263	0.17026983321446	0.0741645	-0.1230927	-0.12309947285983959	-0.026994199999999996	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep85	bneck	0.0	0.0478234	0.0478232553528008	0.170265	0.1702698332144599	0.0745694	-0.1224416	-0.1224465778616591	-0.026745999999999992	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep86	bneck	0.0	0.0493176	0.0493176628790978	0.170267	0.1702698332144599	0.0766022	-0.1209494	-0.1209521703353621	-0.027284599999999992	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep88	bneck	0.0	0.0470889	0.0470888761428777	0.170268	0.17026983321446	0.0729167	-0.1231791	-0.12318095707158229	-0.025827799999999998	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep89	bneck	0.0	0.0468574	0.0468573596053599	0.17027	0.1702698332144599	0.0735466	-0.12341260000000001	-0.1234124736091	-0.026689200000000003	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep9	bneck	0.0	0.0466908	0.0466908152001265	0.170269	0.17026983321446	0.073184	-0.1235782	-0.12357901801433349	-0.0264932	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep92	bneck	0.0	0.0473649	0.0473648856174838	0.170252	0.1702698332144599	0.073889	-0.12288709999999999	-0.1229049475969761	-0.026524099999999995	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep93	bneck	0.0	0.0481591	0.0481585605036772	0.170267	0.1702698332144599	0.0744886	-0.12210789999999999	-0.1221112727107827	-0.0263295	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep94	bneck	0.0	0.0478903	0.0478902981042968	0.170264	0.1702698332144599	0.0754015	-0.1223737	-0.12237953511016311	-0.0275112	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep95	bneck	0.0	0.0469018	0.0469017521993521	0.17027	0.17026983321446	0.0728214	-0.12336820000000001	-0.12336808101510788	-0.025919599999999994	1.0	1.0	1.0	1.0	1.0
rohOutput_DemobneckLong10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep96	bneck	0.0	0.0478648	0.0478644441025731	0.170267	0.1702698332144599	0.0752187	-0.1224022	-0.12240538911188681	-0.0273539	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep1	onepop	0.0	0.166556	0.1664476160333171	0.170136	0.1702698332144599	0.174249	-0.00358	-0.003822217181142812	-0.007692999999999978	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep11	onepop	0.0	0.167324	0.167196582520022	0.170084	0.1702698332144599	0.170202	-0.0027600000000000124	-0.0030732506944378957	-0.0028779999999999917	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep12	onepop	0.0	0.171397	0.1712663842967784	0.170178	0.1702698332144599	0.176273	0.0012189999999999979	0.0009965510823184975	-0.004876000000000019	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep13	onepop	0.0	0.164942	0.1648282537197586	0.170148	0.1702698332144599	0.172988	-0.005205999999999988	-0.00544157949470131	-0.008045999999999998	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep14	onepop	0.0	0.165424	0.1653131241684883	0.1701	0.1702698332144599	0.170031	-0.0046760000000000135	-0.004956709045971591	-0.004607	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep15	onepop	0.0	0.164879	0.1647726147767574	0.170096	0.1702698332144599	0.165437	-0.005216999999999999	-0.005497218437702511	-0.0005580000000000029	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep16	onepop	0.0	0.166236	0.1660962979909277	0.170164	0.17026983321446	0.173283	-0.003928000000000015	-0.004173535223532282	-0.007046999999999998	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep17	onepop	0.0	0.167138	0.1670135962402271	0.170071	0.1702698332144599	0.17195	-0.002932999999999991	-0.0032562369742328012	-0.004811999999999983	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep18	onepop	0.0	0.165341	0.1652217997315418	0.170071	0.1702698332144599	0.168397	-0.004730000000000012	-0.005048033482918102	-0.003056000000000003	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep19	onepop	0.0	0.165362	0.1652445288630554	0.170042	0.1702698332144599	0.1672	-0.00467999999999999	-0.005025304351404497	-0.0018379999999999785	1.0	1.0	1.0	1.0	1.0
rohOutput_Demoonepop10000_NeuTRUE_Mu7e-08_Matingoutc100_Rep20	onepop	0.0	0.164139	0.1640149875527597	0.170133	0.1702698332144599	0.170812	-0.005993999999999999	-0.0062548456617002035	-0.0066729999999999845	1.0	1.0	1.0	1.0	1.0
